frequency_hz,phase_deg,magnitude_ohm
1734298.66667,83.6224081682,590.304212917
1737328.90909,80.2996863131,583.079829498
1740359.15152,85.0486159092,611.148346822
1743389.39394,87.223553796,660.865169226
1746419.63636,77.4415861904,636.898217323
1749449.87879,83.5375850037,614.76165795
1752480.12121,84.5777803307,631.204813515
1755510.36364,83.6908251575,647.169387284
1758540.60606,85.1111080249,678.537229694
1761570.84848,83.6953014654,615.407319009
1764601.09091,82.0791939448,673.221142678
1767631.33333,83.386878304,661.567609866
1770661.57576,85.4918736618,648.007811738
1773691.81818,87.0524627985,706.467346389
1776722.06061,84.02914425,672.032464834
1779752.30303,82.8210897392,674.672622927
1782782.54545,75.366995894,722.255011008
1785812.78788,83.7935310884,695.824100801
1788843.0303,78.4363055129,725.391356369
1791873.27273,77.3017833006,649.609404263
1794903.51515,82.2865465276,737.850472788
1797933.75758,83.7286420171,714.664311383
1800964,75.2470062689,707.918267046
1803994.24242,84.887525833,704.450008323
1807024.48485,84.0647936411,712.791288782
1810054.72727,84.1332323777,758.72165529
1813084.9697,85.4034738243,737.562235724
1816115.21212,86.4176936514,756.191218667
1819145.45455,78.6162791122,862.981830813
1822175.69697,80.7930102836,823.808274699
1825205.93939,80.0777784695,826.837232843
1828236.18182,79.4221100522,740.62097379
1831266.42424,82.5885949359,787.734548865
1834296.66667,81.0386313062,823.811317556
1837326.90909,66.0831552598,1032.91503193
1840357.15152,83.4609360538,797.27949129
1843387.39394,84.3211723783,850.126737279
1846417.63636,71.5842469635,972.889517979
1849447.87879,80.3389203375,846.85799154
1852478.12121,80.6170929193,775.701237415
1855508.36364,66.8452192485,821.524473549
1858538.60606,85.144056956,830.645097254
1861568.84848,84.6652033694,847.207100326
1864599.09091,61.1217703443,1001.88379128
1867629.33333,83.07032764,913.259310725
1870659.57576,77.2154944221,1027.605962
1873689.81818,73.9409391599,1324.04764853
1876720.06061,80.7241603203,954.126214294
1879750.30303,80.02861733,899.306264582
1882780.54545,100.101251431,1612.15496465
1885810.78788,79.5288389937,975.789161424
1888841.0303,67.0719515194,985.344482807
1891871.27273,78.934788346,937.884125104
1894901.51515,80.9509093693,870.924798066
1897931.75758,83.5648245096,906.644222145
1900962,67.9579984821,736.780326841
1903992.24242,81.5968421891,935.414181695
1907022.48485,75.1905513137,1079.27409527
1910052.72727,83.0731406399,918.912108552
1913082.9697,77.6404447205,1048.9102688
1916113.21212,75.3772258335,926.558154458
1919143.45455,80.7971837325,918.969007857
1922173.69697,79.6550684544,1019.7169594
1925203.93939,72.9656717696,1143.97047357
1928234.18182,67.8164277003,882.462832189
1931264.42424,74.5187164362,1111.24564668
1934294.66667,78.0714733097,1067.1155359
1937324.90909,55.7633161471,1795.5431055
1940355.15152,77.7231860491,1169.77322265
1943385.39394,82.013636046,1108.60927181
1946415.63636,50.395061551,1171.32261954
1949445.87879,81.3855484547,1150.93591781
1952476.12121,63.0775734487,1127.8120891
1955506.36364,37.8601808993,942.633027151
1958536.60606,73.2485769002,1150.28894709
1961566.84848,45.9829446576,1452.3029619
1964597.09091,49.9343930357,1149.06059847
1967627.33333,73.6405194632,1296.04702631
1970657.57576,73.9835437249,1664.66226082
1973687.81818,78.8451238263,1419.80057827
1976718.06061,77.8833361425,1356.35868551
1979748.30303,58.1939371156,1522.12954235
1982778.54545,4.21218183437,4687.38939955
1985808.78788,73.3609353316,1522.17349714
1988839.0303,43.0801975664,1612.55763321
1991869.27273,37.4011789169,1792.23144809
1994899.51515,73.5934290755,1485.19106555
1997929.75758,69.5758089945,1377.55768365
2000960,97.136440165,1024.20684957
2003990.24242,66.5666423235,1497.15008593
2007020.48485,71.9816470673,3327.67219743
2010050.72727,57.0396899908,1176.71056957
2013080.9697,76.2527107131,1520.32904492
2016111.21212,53.7080433568,2926.44576464
2019141.45455,72.5089151342,1156.30137479
2022171.69697,69.8407725841,1893.6280045
2025201.93939,62.8111804679,2565.43790506
2028232.18182,-20.6488966052,2915.50101769
2031262.42424,62.58470284,1657.38893133
2034292.66667,24.5167083141,2348.38653325
2037322.90909,2.53139882645,2739.62513755
2040353.15152,69.7965341649,1896.42046815
2043383.39394,28.2706314346,1918.41582172
2046413.63636,33.131284164,1356.71594347
2049443.87879,34.5821955501,2173.53936877
2052474.12121,57.9124970647,2276.27636484
2055504.36364,45.4830580829,2236.38603638
2058534.60606,29.7555811228,1238.57339363
2061564.84848,66.8702715839,2266.80774984
2064595.09091,30.0796007247,2132.75054969
2067625.33333,18.0994254712,875.499632223
2070655.57576,1.3221131688,2265.6883536
2073685.81818,-48.9628320641,2338.90690978
2076716.06061,51.5065668093,3239.4755749
2079746.30303,19.4056554527,3026.61974108
2082776.54545,-1.28996420316,1184.67365395
2085806.78788,33.7968063738,2408.23230035
2088837.0303,27.7189750331,3366.83046956
2091867.27273,18.3278690711,2062.53255788
2094897.51515,25.041589925,2002.45294374
2097927.75758,35.0717797875,2836.76483555
2100958,-29.1860452658,2723.80792064
2103988.24242,-4.3802440233,1791.47330519
2107018.48485,14.3628981037,2592.76138861
